Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-013266,Fort Lyon Health Center,30999 County Road 15 BLDG 5,Fort Lyon,CO,81054-9499,719-662-1142,www.coloradocoalition.org,40.5,7,All Other Clinic Types,1,Active,61952,1336563014,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,10/31/2013,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-103.1427408,38.08510118,N,N,8011,Bent County,Bent,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-027766,STRIDE CHC  -  Golden High School,701 24th St,Golden,CO,80401-2379,303-360-6276,,16,2,School,1,Active,61043,1316591662,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/17/2019,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-105.2125642,39.74535357,N,N,8059,Jefferson County,Jefferson,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-039437,Clinica Family Health & Wellness -- Halcyon School,3100 Bucknell Ct,Boulder,CO,80305-3465,303-650-4460,,40,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/1/2024,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.2566597,39.99204396,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-035018,Alicia Sanchez Elementary School,655 Sir Galahad Dr,Lafayette,CO,80026-1979,303-650-4460,clinica.org,1.38,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2022,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.0832849,39.9893392,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-037388,Smoky Hill High School Community Health Clinic,16100 E Smoky Hill Rd,Aurora,CO,80015-1751,303-761-1977,https://stridechc.org/,25.5,2,School,1,Active,61066,1396510947,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/1/2023,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-104.8001012,39.62897063,N,N,8005,Arapahoe County,Arapahoe,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS10610,8.00E+68,BPS-H80-033667,Hayden Schools,300 Breeze Basin Blvd,Hayden,CO,81639-5072,970-824-8000,www.northwestcoloradohealth.org,8,2,School,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/1/2021,NORTHWEST COLORADO VISITING NURSE ASSOCIATION,940 Central Park Dr,Steamboat Springs,CO,80487-8816,"Corporate Entity, Federal Tax Exempt",-107.263917,40.48885893,N,N,8107,Routt County,Routt,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-029887,Family Health Center at Mitchell High School,4041 E San Miguel St,Colorado Springs,CO,80909-3537,719-328-6600,,53,7,All Other Clinic Types,1,Active,61007,1639714041,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/31/2019,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7500254,38.85066071,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-039439,Clinica Family Health & Wellness -- Wellness Education Center,834 S Sherman St,Longmont,CO,80501-6323,303-650-4460,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/1/2024,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.1155322,40.14902037,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00804,80140,BPS-H80-038232,Sunrise Madison Health Clinic,500 24th Ave STE A,Greeley,CO,80634-2617,970-348-1771,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/8/2024,SUNRISE COMMUNITY HEALTH,2930 11th Ave,Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",-104.7183064,40.42746258,N,N,8123,Weld County,Weld,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-001500,Sierra Blanca Medical Center or Alamosa Physical Therapy and Rehabilitation,106 Blanca Ave,Alamosa,CO,81101-2340,719-589-3658,www.vwhs.org,54,7,All Other Clinic Types,1,Active,61896,1154377356,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1996,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.8834886,37.47172608,N,N,8003,Alamosa County,Alamosa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-033549,48th Avenue East Shelter Health Center,4600 E 48th Ave,Denver,CO,80216-3212,303-312-9559,,45,7,All Other Clinic Types,1,Active,61035,1609542596,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/19/2021,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.9344077,39.78338075,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-001688,AVONDALE CLINIC,328 Avondale Blvd,Avondale,CO,81022-5005,719-947-3344,http://www.pueblochc.org,42.5,7,All Other Clinic Types,1,Active,61832,1821010448,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,8/1/1987,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.3498785,38.23794384,N,N,8101,Pueblo County,Pueblo,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-036444,Valley-Wide Counseling & Support Center - Rocky Ford,404 N Main St,Rocky Ford,CO,81067-1256,719-254-7623,valley-widehealth.org,22,7,All Other Clinic Types,1,Active,,1528779758,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/16/2023,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.7186854,38.05451327,N,N,8089,Otero County,Otero,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00830,81260,BPS-H80-036918,MOUNTAIN FAMILY HEALTH CENTERS GYPSUM,410 McGregor Dr,Gypsum,CO,81637,970-945-2840,,30,7,All Other Clinic Types,1,Active,61051,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/12/2023,MOUNTAIN FAMILY HEALTH CENTERS,"1905 Blake Ave, Ste 101",Glenwood Springs,CO,81601-4206,"Corporate Entity, Federal Tax Exempt",-106.8811271,39.64369713,N,N,8037,Eagle County,Eagle,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28998,08E01215,BPS-H80-015398,Tepeyac Administration,4725 High St,Denver,CO,80216-2220,303-458-5302,www.tepeyachealth.org,45,7,All Other Clinic Types,1,Active,Application has not been submitted,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,8/1/2015,"LA CLINICA TEPEYAC, INC.",4725 High St,Denver,CO,80216-2220,"Corporate Entity, Federal Tax Exempt",-104.9645754,39.78253816,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-039902,Rock Creek Family Medicine,77 Adcock Dr,Alamosa,CO,81101-8903,833-350-1113,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/25/2025,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.8995199,37.47316865,N,N,8003,Alamosa County,Alamosa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24099,08E00441,BPS-H80-011688,Sheridan Health Services,4107 S Federal Blvd,Englewood,CO,80110-4316,303-315-6150,www.nursing.ucdenver.edu/sheridan,40,2,School,1,Active,61932,1194921411,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/1/2012,THE REGENTS OF THE UNIV. OF COLORADO,13001 E 17th Pl STE F428,Aurora,CO,80045-2571,U.S. Government Entity,-105.0253901,39.64052794,N,N,8005,Arapahoe County,Arapahoe,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-027628,Lake County Elementary,130 W 12th St,Leadville,CO,80461-3415,720-710-5049,,16,2,School,1,Active,9000184822,1245897008,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/11/2019,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.2958174,39.25311007,N,N,8065,Lake County,Lake,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-032699,West Main - Administrative Site,323 W Main St,Frisco,CO,80443-5966,970-423-8861,www.summitclinic.org,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,7/2/2021,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.1080741,39.57526698,N,N,8117,Summit County,Summit,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-032553,Obstetrics and Gynecology Clinic,777 Bannock St,Denver,CO,80204-4507,303-436-4949,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/3/2021,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902931,39.72800529,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-036429,Valley-Wide Peer 613,613 Barnes Ave,La Junta,CO,81050-2136,800-511-5446,,51,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,3/16/2023,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.5543871,37.98191794,N,N,8089,Otero County,Otero,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-036978,Valley-Wide Administrative Services- La Junta South,302 Barnes Ave,La Junta,CO,81050-1329,800-511-5446,,40,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,7/25/2023,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.5544086,37.98567312,N,N,8089,Otero County,Otero,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-012545,"Health Center at Academy, Suite 3500",3207 N Academy Blvd STE 3500,Colorado Springs,CO,80917-5101,719-632-5700,www.peakvista.org,52.5,7,All Other Clinic Types,1,Active,61940,1962740381,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,4/24/2013,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7569725,38.878488,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-032928,East Side Clinic,1301 E 7th St,Pueblo,CO,81001-3508,719-543-8711,https://www.pueblochc.org/locations/,50.5,7,All Other Clinic Types,1,Active,61031,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/18/2021,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.5886276,38.27391369,N,N,8101,Pueblo County,Pueblo,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS10610,8.00E+68,BPS-H80-039463,Soda Creek Elementary School,220 Park Ave,Steamboat Springs,CO,80487-5058,970-879-1632,,14,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/10/2024,NORTHWEST COLORADO VISITING NURSE ASSOCIATION,940 Central Park Dr,Steamboat Springs,CO,80487-8816,"Corporate Entity, Federal Tax Exempt",-106.8290856,40.49057609,N,N,8107,Routt County,Routt,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-027064,Central High School SBWC,216 E Orman Ave,Pueblo,CO,81004-2144,719-543-8711,,33,2,School,1,Active,,1700139813,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/4/2018,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.6253148,38.25316986,N,N,8101,Pueblo County,Pueblo,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-010666,Salud Fort Morgan,729 E Railroad Ave,Fort Morgan,CO,80701-3340,303-697-2583,www.saludclinic.org,40,7,All Other Clinic Types,1,Active,61843,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,7/15/2011,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-103.7895959,40.24852869,N,N,8087,Morgan County,Morgan,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
