id,state,abbrev,county,Population2020,BuildingValue,Areasqmi,NationalRiskIndexValueComposite,NationalRiskIndexScoreComposite,NationalRiskIndexRatingComposite,ExpectedAnnualLossScoreComposite,ExpectedAnnualLossRatingComposite,ExpectedAnnualLossTotalComposite,ExpectedAnnualLossBuildingValueComposite,ExpectedAnnualLossPopulationComposite,ExpectedAnnualLossPopulationEquivalenceComposite,SocialVulnerabilityScore,SocialVulnerabilityRating,CommunityResilienceScore,CommunityResilienceRating,CommunityResilienceValue,CommunityRiskFactorValue,AvalancheHistoricLossRatioTotalRating,AvalancheExpectedAnnualLossRating,AvalancheHazardTypeRiskIndexRating,ColdWaveExposureImpactedAreasqmi,ColdWaveHistoricLossRatioTotalRating,ColdWaveExpectedAnnualLossRating,ColdWaveHazardTypeRiskIndexRating,DroughtExposureImpactedAreasqmi,DroughtHistoricLossRatioTotalRating,DroughtExpectedAnnualLossRating,DroughtHazardTypeRiskIndexRating,EarthquakeExposureImpactedAreasqmi,EarthquakeExposureBuildingValue,EarthquakeExposurePopulation,EarthquakeExposurePopulationEquivalence,EarthquakeExposureTotal,EarthquakeHistoricLossRatioBuildings,EarthquakeHistoricLossRatioTotalRating,EarthquakeExpectedAnnualLossBuildingValue,EarthquakeExpectedAnnualLossPopulationEquivalence,EarthquakeExpectedAnnualLossTotal,EarthquakeExpectedAnnualLossScore,EarthquakeExpectedAnnualLossRating,EarthquakeHazardTypeRiskIndexValue,EarthquakeHazardTypeRiskIndexScore,EarthquakeHazardTypeRiskIndexRating,HailNumberofEvents,HailAnnualizedFrequency,HailExposureImpactedAreasqmi,HailExposureBuildingValue,HailExposurePopulation,HailExposurePopulationEquivalence,HailExposureTotal,HailHistoricLossRatioTotalRating,HailExpectedAnnualLossBuildingValue,HailExpectedAnnualLossPopulationEquivalence,HailExpectedAnnualLossTotal,HailExpectedAnnualLossScore,HailExpectedAnnualLossRating,HailHazardTypeRiskIndexValue,HailHazardTypeRiskIndexScore,HailHazardTypeRiskIndexRating,HeatWaveExposureImpactedAreasqmi,HeatWaveHistoricLossRatioTotalRating,HeatWaveExpectedAnnualLossRating,HeatWaveHazardTypeRiskIndexRating,IceStormAnnualizedFrequency,IceStormExposureImpactedAreasqmi,IceStormExposureBuildingValue,IceStormExposurePopulation,IceStormExposurePopulationEquivalence,IceStormExposureTotal,IceStormHistoricLossRatioTotalRating,IceStormExpectedAnnualLossBuildingValue,IceStormExpectedAnnualLossPopulationEquivalence,IceStormExpectedAnnualLossTotal,IceStormExpectedAnnualLossScore,IceStormExpectedAnnualLossRating,IceStormHazardTypeRiskIndexValue,IceStormHazardTypeRiskIndexScore,IceStormHazardTypeRiskIndexRating,LandslideHistoricLossRatioTotalRating,LandslideExpectedAnnualLossRating,LandslideHazardTypeRiskIndexRating,LightningNumberofEvents,LightningAnnualizedFrequency,LightningExposureImpactedAreasqmi,LightningExposureBuildingValue,LightningExposurePopulation,LightningExposurePopulationEquivalence,LightningExposureTotal,LightningHistoricLossRatioTotalRating,LightningExpectedAnnualLossBuildingValue,LightningExpectedAnnualLossPopulationEquivalence,LightningExpectedAnnualLossTotal,LightningExpectedAnnualLossScore,LightningExpectedAnnualLossRating,LightningHazardTypeRiskIndexValue,LightningHazardTypeRiskIndexScore,LightningHazardTypeRiskIndexRating,RiverineFloodingHistoricLossRatioTotalRating,RiverineFloodingExpectedAnnualLossRating,RiverineFloodingHazardTypeRiskIndexRating,StrongWindNumberofEvents,StrongWindAnnualizedFrequency,StrongWindExposureImpactedAreasqmi,StrongWindExposureBuildingValue,StrongWindExposurePopulation,StrongWindExposurePopulationEquivalence,StrongWindExposureTotal,StrongWindHistoricLossRatioTotalRating,StrongWindExpectedAnnualLossBuildingValue,StrongWindExpectedAnnualLossPopulationEquivalence,StrongWindExpectedAnnualLossTotal,StrongWindExpectedAnnualLossScore,StrongWindExpectedAnnualLossRating,StrongWindHazardTypeRiskIndexValue,StrongWindHazardTypeRiskIndexScore,StrongWindHazardTypeRiskIndexRating,TornadoAnnualizedFrequency,TornadoExposureImpactedAreasqmi,TornadoExposureBuildingValue,TornadoExposurePopulation,TornadoExposurePopulationEquivalence,TornadoExposureTotal,TornadoHistoricLossRatioTotalRating,TornadoExpectedAnnualLossBuildingValue,TornadoExpectedAnnualLossPopulationEquivalence,TornadoExpectedAnnualLossTotal,TornadoExpectedAnnualLossScore,TornadoExpectedAnnualLossRating,TornadoHazardTypeRiskIndexValue,TornadoHazardTypeRiskIndexScore,TornadoHazardTypeRiskIndexRating,WildfireExposureImpactedAreasqmi,WildfireExposureBuildingValue,WildfireExposurePopulation,WildfireExposurePopulationEquivalence,WildfireExposureTotal,WildfireHistoricLossRatioTotalRating,WildfireExpectedAnnualLossBuildingValue,WildfireExpectedAnnualLossPopulationEquivalence,WildfireExpectedAnnualLossTotal,WildfireExpectedAnnualLossScore,WildfireExpectedAnnualLossRating,WildfireHazardTypeRiskIndexValue,WildfireHazardTypeRiskIndexScore,WildfireHazardTypeRiskIndexRating,WinterWeatherNumberofEvents,WinterWeatherAnnualizedFrequency,WinterWeatherExposureImpactedAreasqmi,WinterWeatherExposureBuildingValue,WinterWeatherExposurePopulation,WinterWeatherExposurePopulationEquivalence,WinterWeatherExposureTotal,WinterWeatherHistoricLossRatioTotalRating,WinterWeatherExpectedAnnualLossBuildingValue,WinterWeatherExpectedAnnualLossPopulationEquivalence,WinterWeatherExpectedAnnualLossTotal,WinterWeatherExpectedAnnualLossScore,WinterWeatherExpectedAnnualLossRating,WinterWeatherHazardTypeRiskIndexValue,WinterWeatherHazardTypeRiskIndexScore,WinterWeatherHazardTypeRiskIndexRating
68,Montana,MT,Broadwater,6753,1676851012,1250.606,1026436.159,5.472,Very Low,6.747,Very Low,1023320.683,702543.719,0.025,287402.524,8.02,Very Low,33.04,Relatively Low,2.529,1.003,Not Applicable,Not Applicable,Not Applicable,1250.606,Very Low,Relatively Low,Relatively Low,1250.606,Very Low,Very Low,Very Low,1250.606,1676829000,6774,78578400000,80255229000,0.08,Relatively High,407512.2,108083.218,515595.417,72.145,Relatively Low,539141.379,71.333,Relatively Low,28,0.818,1250.606,1676851012,6753,78334800000,80057169968,Relatively Moderate,44216.973,316.432,45068.629,36.725,Very Low,43920.633,30.703,Very Low,1250.606,No Rating,No Expected Annual Losses,No Rating,0.015,1250.606,1676851012,6753,78334800000,80011651012,Relatively High,5421.547,1220.258,6641.805,16.322,Very Low,6508.03,13.524,Very Low,Relatively Moderate,Relatively Low,Relatively Low,216,9.791,1250.606,1676851012,6753,78334800000,80011651012,Very High,43.449,34251.105,34294.554,22.78,Very Low,33888.677,19.176,Very Low,Relatively Moderate,Very Low,Very Low,18,0.504,1250.606,1676851012,6753,78334800000,80057169968,Relatively Moderate,11978.592,18554.633,30590.832,11.6,Very Low,30135.782,7.763,Very Low,0.035,1250.606,1676851012,6753,78334800000,80057169968,Relatively Low,7433.937,9257.978,16772.756,6.886,Very Low,16408.87,4.645,Very Low,26.359,379860987.5,1566.406,18170315276,18557448072,Relatively Low,136189.205,2943.054,139217.804,68.661,Relatively Low,127871.688,65.797,Relatively Low,133.43,8.262,1250.606,1676851012,6753,78334800000,80057169968,Relatively Moderate,465.132,78163.659,78682.063,62.086,Relatively Moderate,78092.01,57.079,Relatively Low
69,Montana,MT,Carbon,10455,3365746144,2082.187,3144128.424,25.103,Very Low,31.074,Very Low,3227806.763,1475044.376,0.129,1497315.496,7.51,Very Low,69,Relatively High,2.67,0.974,Relatively Moderate,Relatively Low,Very Low,2082.187,Very Low,Relatively Low,Relatively Low,2082.187,Very Low,Relatively Low,Relatively Low,2082.187,3365689000,10473,121000000000,125000000000,0.028,Relatively Low,69838.8,7923.19,77761.99,41.071,Very Low,76481.269,39.198,Very Low,48,1.403,2082.187,3365746144,10455,121000000000,125000000000,Relatively Moderate,68600.764,5568.004,94917.054,52.109,Relatively Low,93017.788,46.58,Relatively Low,2082.187,Relatively Low,Relatively Moderate,Relatively Moderate,0.015,2082.187,3365746144,10455,121000000000,125000000000,Relatively High,10882.035,1889.204,12771.239,24.217,Very Low,12594.725,21.652,Very Low,Relatively Low,Relatively Low,Relatively Low,238,10.778,2082.187,3365746144,10455,121000000000,125000000000,Very High,535.113,85753.616,86288.729,49.035,Relatively Low,85772.892,43.597,Relatively Low,Relatively Low,Relatively Low,Relatively Low,24,0.697,2082.187,3365746144,10455,121000000000,125000000000,Relatively Low,569,29281.486,35803.909,12.438,Very Low,35359.329,8.75,Very Low,0.104,2082.187,3365746144,10455,121000000000,125000000000,Relatively Low,58151.66,67245.358,125988.143,17.525,Very Low,125232.561,13.968,Very Low,66.572,1109646352,3195.302,37065505016,38221839986,Relatively Moderate,987464.155,37321.88,1026159.655,87.019,Relatively Moderate,987391.879,85.905,Relatively Low,143.54,8.888,2082.187,3365746144,10455,121000000000,125000000000,Relatively Low,2548.408,95677.733,98226.142,67.874,Relatively Moderate,97161.246,62.743,Relatively Moderate
70,Montana,MT,Carter,1400,842698370,3381.807,584163.126,2.323,Very Low,2.29,Very Low,502373.817,280925.52,0.013,150217.445,31.38,Relatively Low,3.31,Very Low,2.344,1.163,Not Applicable,Not Applicable,Not Applicable,3381.807,Relatively Low,Relatively Moderate,Relatively Moderate,3381.807,Very Low,Very Low,Very Low,3381.807,842689000,1415,16414000000,17256689000,0.014,Relatively Low,1385.8,170.772,1556.572,4.581,Very Low,1809.991,4.677,Very Low,92,2.695,3381.807,842698370,1400,16240000000,17163721657,Relatively High,32441.574,3249.172,36117.976,32.475,Very Low,41998.187,29.749,Very Low,3381.807,Relatively Low,Relatively Low,Relatively Low,0.052,3381.807,842698370,1400,16240000000,17082698370,Relatively Moderate,672.604,761.853,1434.457,4.73,Very Low,1667.995,4.664,Very Low,Relatively High,Relatively Low,Relatively Low,621,28.207,3381.807,842698370,1400,16240000000,17082698370,Relatively High,1841.283,7808.454,9649.737,5.824,Very Low,11220.769,5.695,Very Low,Relatively Low,Very Low,Very Low,49,1.434,3381.807,842698370,1400,16240000000,17163721657,Relatively Moderate,1374.15,13068.759,14543.602,7.785,Very Low,16911.383,5.154,Very Low,0.418,3381.807,842698370,1400,16240000000,17163721657,Relatively Low,31107.633,14897.617,48298.309,11.694,Very Low,56161.548,9.29,Very Low,24.739,92513568.1,134.208,1556812227,1656213310,Relatively High,114079.863,11974.047,126289.787,67.324,Relatively Low,146850.481,67.261,Relatively Low,83.003,5.14,3381.807,842698370,1400,16240000000,17163721657,Relatively High,64908.875,11557.982,76525.857,61.622,Relatively Moderate,88984.701,60.579,Relatively Low
71,Montana,MT,Cascade,84327,18475746848,2738.828,7340254.994,55.775,Relatively Low,56.175,Relatively Low,6634694.198,1192617.787,0.435,5047440.985,52.83,Relatively Moderate,81.73,Very High,2.721,1.106,Not Applicable,Not Applicable,Not Applicable,2738.828,Very Low,Very High,Very High,2738.828,Very Low,Relatively Low,Very Low,2738.828,18475453000,84414,979000000000,998000000000,0.026,Relatively Low,251359.6,41393.655,292753.255,63.169,Relatively Low,346840.008,64.333,Very Low,37,1.073,2738.828,18475746848,84327,978000000000,997000000000,Very Low,450.507,5029.244,5505.997,9.77,Very Low,6199.068,7.318,Very Low,2738.828,No Rating,No Expected Annual Losses,No Rating,0.015,2738.828,18475746848,84327,978000000000,997000000000,Relatively High,59735.262,15237.772,74973.034,55.13,Relatively Low,84801.731,54.63,Relatively Low,Very Low,Relatively Low,Relatively Low,186,8.453,2738.828,18475746848,84327,978000000000,997000000000,Relatively Moderate,722.888,54250.081,54972.97,34.846,Relatively Low,62108.659,32.4,Relatively Low,Very Low,Relatively Low,Relatively Low,24,0.698,2738.828,18475746848,84327,978000000000,997000000000,Relatively Moderate,11503.564,358328.304,370054.697,55.521,Relatively Moderate,416723.425,52.561,Relatively Low,0.129,2738.828,18475746848,84327,978000000000,997000000000,Very Low,212942.52,39314.622,252789.396,25.031,Very Low,285577.883,22.781,Very Low,133.931,2100107271,6564.461,76147751095,78280692548,Relatively Moderate,573595.794,8653.159,582553.035,83.042,Relatively Low,600551.029,81.864,Relatively Low,223.258,13.824,2738.828,18475746848,84327,978000000000,997000000000,Relatively Low,8571.399,1265050.315,1273863.302,98.483,Very High,1434202.879,98.568,Very High
72,Montana,MT,Chouteau,5879,3878871813,4037.042,1109367.549,6.045,Very Low,5.54,Very Low,901480.747,241178.256,0.027,309069.084,27.66,Relatively Low,24.79,Relatively Low,2.496,1.231,Not Applicable,Not Applicable,Not Applicable,4037.042,Relatively Low,Relatively High,Relatively High,4037.042,Very Low,Relatively Low,Relatively Low,4037.042,3878846000,5895,68382000000,72260846000,0.011,Relatively Low,9866.7,1168.703,11035.403,18.725,Very Low,12109.035,18.645,Very Low,36,1.038,4037.042,3878871813,5879,68196400000,72271017697,Relatively Low,2129.213,188.249,10642.891,14.392,Very Low,12996.869,12.377,Very Low,4037.042,Relatively Low,Relatively Low,Relatively Low,0.015,4037.042,3878871813,5879,68196400000,72075271813,Very High,12541.059,1062.327,13603.386,25.017,Very Low,16741.281,25.383,Very Low,Relatively Low,Relatively Low,Relatively Low,217,9.828,4037.042,3878871813,5879,68196400000,72075271813,Very High,169.402,28583.591,28752.993,19.273,Very Low,35293.212,19.884,Very Low,No Rating,No Expected Annual Losses,No Rating,28,0.801,4037.042,3878871813,5879,68196400000,72271017697,Relatively Moderate,24475.456,1006.743,32545.68,11.973,Very Low,39608.094,9.64,Very Low,0.252,4037.042,3878871813,5879,68196400000,72271017697,Relatively Low,62080.112,3677.84,66543.299,13.524,Very Low,84603.467,11.899,Very Low,187.911,564959807.4,760.856,8825929682,9409751593,Very High,111611.378,2509.121,114314.953,66.02,Relatively Low,147511.938,67.292,Relatively Low,131,8.111,4037.042,3878871813,5879,68196400000,72271017697,Relatively Moderate,12136.004,51769.632,64130.607,57.072,Relatively Moderate,78579.73,57.556,Relatively Low
73,Montana,MT,Custer,11841,3118157668,3831.491,4222535.159,35.889,Very Low,38.007,Very Low,3950640.744,676252.42,0.273,3165209.627,40.71,Relatively Moderate,46.09,Relatively Moderate,2.583,1.069,Not Applicable,Not Applicable,Not Applicable,3831.491,Relatively Low,Relatively Moderate,Relatively Moderate,3831.491,Very Low,Very Low,Very Low,3831.491,3118088000,11867,138000000000,141000000000,0.015,Relatively Low,4520.9,789.019,5309.919,11.761,Very Low,6022.855,12.249,Very Low,66,1.933,3831.491,3118157668,11841,137000000000,141000000000,Relatively Low,21.722,19541.203,19911.566,22.053,Very Low,21098.1,18.613,Very Low,3831.491,Relatively Low,Relatively Low,Relatively Low,0.015,3831.491,3118157668,11841,137000000000,140000000000,Relatively High,10081.539,2139.652,12221.191,23.684,Very Low,12725.331,21.952,Very Low,Relatively Low,Relatively Low,Relatively Low,503,22.849,3831.491,3118157668,11841,137000000000,140000000000,Very High,5978.825,178074.143,184052.968,71.622,Relatively Moderate,196671.316,68.79,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,35,1.022,3831.491,3118157668,11841,137000000000,141000000000,Relatively Moderate,12876.521,101519.485,114517.742,25.837,Relatively Low,120282.226,21.54,Very Low,0.226,3831.491,3118157668,11841,137000000000,141000000000,Relatively Low,49487.705,60959.387,113164.731,16.532,Very Low,114214.214,13.268,Very Low,16.915,139509366.7,358.493,4158523958,4306976684,Relatively Moderate,195919.036,12358.15,209105.377,72.797,Relatively Low,158591.81,68.279,Relatively Low,53.005,3.282,3831.491,3118157668,11841,137000000000,141000000000,Relatively High,105954.446,62421.979,168417.28,79.109,Relatively Moderate,176349.723,76.965,Relatively Moderate
74,Montana,MT,Daniels,1661,1764898474,1441.067,683931.499,2.8,Very Low,3.807,Very Low,693078.975,226686.775,0.018,204127.886,5.03,Very Low,21.45,Relatively Low,2.481,0.987,Not Applicable,Not Applicable,Not Applicable,1441.062,Relatively Low,Relatively Moderate,Relatively Moderate,1441.062,Very Low,Very Low,Very Low,1441.062,1764886000,1661,19267600000,21032486000,0.007,Relatively Low,1180.1,176.5,1356.6,4.209,Very Low,1338.695,3.818,Very Low,49,1.441,1441.062,1764898474,1661,19267600000,21080855211,Very High,66988.815,2473.612,89364.057,50.9,Relatively Low,88184.602,45.275,Relatively Low,1441.062,Relatively Low,Relatively Low,Relatively Low,0.015,1441.062,1764898474,1661,19267600000,21032498474,Very High,5706.22,300.14,6006.36,15.09,Very Low,5927.086,12.592,Very Low,Relatively High,Relatively Low,Very Low,324,14.697,1441.062,1764898474,1661,19267600000,21032498474,Relatively High,990.867,6307.462,7298.329,4.118,Very Low,7202.004,3.346,Very Low,No Rating,No Expected Annual Losses,No Rating,40,1.169,1441.062,1764898474,1661,19267600000,21080855211,Relatively High,61974.399,9843.859,86551.326,21.588,Relatively Low,85408.994,16.958,Very Low,0.117,1441.067,1764898474,1661,19267600000,21080855211,Relatively Moderate,36135.346,10897.721,47224.487,11.476,Very Low,46601.203,8.431,Very Low,32.727,157186583.3,51.23,594270535.4,753524332,Very High,11112.421,150.617,11284.428,30.13,Very Low,11135.493,27.967,Very Low,60.012,3.716,1441.062,1764898474,1661,19267600000,21080855211,Relatively High,35464.623,12495.312,47985.395,50.418,Relatively Low,47352.068,44.384,Relatively Low
75,Montana,MT,Dawson,8924,3032846399,2407.526,2053990.785,14.508,Very Low,18.384,Very Low,2144356.927,680449.386,0.105,1220584.802,17.7,Very Low,56.68,Relatively Moderate,2.623,0.958,Not Applicable,Not Applicable,Not Applicable,2407.526,Very Low,Relatively Moderate,Relatively Moderate,2407.526,Very Low,Very Low,Very Low,2407.526,3032814000,8940,104000000000,107000000000,0.006,Very Low,1346.6,213.103,1559.703,4.612,Very Low,1413.457,3.977,Very Low,76,2.213,2407.526,3032846399,8924,104000000000,107000000000,Relatively Low,10482.917,21475.835,38821.026,33.964,Very Low,37010.695,27.458,Very Low,2407.526,Relatively Low,Relatively Moderate,Relatively Low,0.021,2407.526,3032846399,8924,104000000000,107000000000,Relatively High,11328.379,1635.213,12963.592,24.417,Very Low,11945.292,21.119,Very Low,Relatively Low,Relatively Low,Relatively Low,455,20.642,2407.526,3032846399,8924,104000000000,107000000000,Relatively High,1823.627,52131.766,53955.393,34.234,Relatively Low,55067.074,28.636,Relatively Low,Very Low,Relatively Low,Relatively Low,57,1.658,2407.526,3032846399,8924,104000000000,107000000000,Relatively High,458088.885,81030.721,579728.897,69.758,Relatively Moderate,537148.981,61.47,Relatively Moderate,0.318,2407.526,3032846399,8924,104000000000,107000000000,Relatively Low,133828.685,164275.183,299261.961,27.419,Very Low,294166.148,23.099,Very Low,26.857,161609405.2,292.431,3392204406,3556697809,Relatively High,13668.479,2080,15758.459,35.571,Very Low,13644.252,31.594,Very Low,69,4.272,2407.526,3032846399,8924,104000000000,107000000000,Relatively Moderate,7314.168,106190.667,113545.241,71.495,Relatively Moderate,115396.854,67.261,Relatively Moderate
76,Montana,MT,Deer Lodge,9414,2098175922,748.878,1472448.997,8.654,Very Low,8.945,Very Low,1252678.026,338441.512,0.076,881226.207,66.07,Relatively High,34.5,Relatively Low,2.536,1.175,Relatively Moderate,Relatively Low,Very Low,748.878,Very Low,Relatively High,Relatively High,748.878,Very Low,Very Low,Very Low,748.878,2098135000,9421,109000000000,111000000000,0.057,Relatively Moderate,130397.8,18745.481,149143.28,51.47,Very Low,182944.073,53.134,Very Low,23,0.656,748.878,2098175922,9414,109000000000,111000000000,Relatively Moderate,15963.532,398.294,16443.932,19.479,Very Low,19773.607,17.499,Very Low,748.878,No Rating,No Expected Annual Losses,No Rating,0.018,748.878,2098175922,9414,109000000000,111000000000,Relatively High,42.707,4656.602,4699.309,12.125,Very Low,5545.847,12.025,Very Low,Relatively Low,Relatively Low,Relatively Low,206,9.323,748.878,2098175922,9414,109000000000,111000000000,Very High,64.595,74816.142,74880.738,45.142,Relatively Low,90435.438,45.109,Relatively Low,Relatively Low,Very Low,Very Low,11,0.31,748.878,2098175922,9414,109000000000,111000000000,Relatively Moderate,9973.145,28299.451,38285.956,13.337,Very Low,46461.301,11.009,Very Low,0.021,748.878,2098175922,9414,109000000000,111000000000,Relatively Low,7961.065,11024.162,18996.343,7.413,Very Low,23268.249,5.663,Very Low,4.098,187644237.7,629.597,7303319977,7492539129,Relatively Moderate,151142.575,2419.515,153601.183,69.488,Relatively Low,163277.072,68.565,Relatively Low,148.945,9.223,748.878,2098175922,9414,109000000000,111000000000,Relatively Low,434.891,78768.188,79212.804,62.396,Relatively Moderate,96408.192,62.552,Relatively Moderate
77,Montana,MT,Fallon,3048,1341816580,1639.262,750022.143,3.436,Very Low,3.962,Very Low,704212.211,279710.164,0.027,316598.892,14.48,Very Low,43.57,Relatively Moderate,2.571,1.065,Not Applicable,Not Applicable,Not Applicable,1639.262,Relatively Low,Relatively Moderate,Relatively Moderate,1639.262,Very Low,Very Low,Very Low,1639.262,1341803000,3049,35368400000,36710203000,0.012,Relatively Low,1050,152.763,1202.763,3.9,Very Low,1281.004,3.532,Very Low,81,2.353,1639.262,1341816580,3048,35356800000,36750585850,Relatively High,61680.636,8245.356,105059.049,54.125,Relatively Low,111893.279,50.716,Relatively Low,1639.262,Relatively Low,Relatively Low,Relatively Low,0.159,1639.262,1341816580,3048,35356800000,36698616580,Relatively Moderate,3373.597,4191.084,7564.681,17.855,Very Low,8056.774,16.256,Very Low,Relatively High,Relatively Low,Relatively Low,483,21.932,1639.262,1341816580,3048,35356800000,36698616580,Relatively High,2175.187,12469.539,14644.726,9.363,Very Low,15597.385,8.14,Very Low,Relatively Low,Very Low,Very Low,48,1.387,1639.262,1341816580,3048,35356800000,36750585850,Relatively Moderate,815.561,30792.804,51705.201,16.036,Very Low,55068.692,12.313,Very Low,0.209,1639.262,1341816580,3048,35356800000,36750585850,Relatively Moderate,51700.762,35387.725,88163.748,15.105,Very Low,93898.915,12.409,Very Low,15.388,83714902.49,172.354,1999307030,2086168723,Relatively High,51046.256,6461.035,57582.927,56.602,Very Low,61328.773,56.316,Very Low,65,4.025,1639.262,1341816580,3048,35356800000,36750585850,Relatively High,69087.4,29461.936,98578.972,67.998,Relatively Moderate,104991.664,64.811,Relatively Moderate
78,Montana,MT,Fergus,11438,5109286165,4393.939,1553372.551,9.768,Very Low,11.266,Very Low,1479879.401,515714.154,0.063,731643.318,28.13,Relatively Low,75.84,Relatively High,2.697,1.05,Not Applicable,Not Applicable,Not Applicable,4393.939,Relatively Low,Relatively High,Relatively High,4393.939,Very Low,Very Low,Very Low,4393.939,5109248000,11446,133000000000,138000000000,0.007,Very Low,5325,850.882,6175.882,12.968,Very Low,6875.508,13.204,Very Low,47,1.38,4393.939,5109286165,11438,133000000000,138000000000,Relatively Low,835.63,519.325,9843.319,13.803,Very Low,9763.345,9.959,Very Low,4393.939,Relatively Low,Relatively Low,Relatively Low,0.015,4393.939,5109286165,11438,133000000000,138000000000,Very High,16519.2,2066.831,18586.03,29.447,Relatively Low,19638.848,27.682,Very Low,Very Low,Relatively Moderate,Relatively Moderate,332,15.065,4393.939,5109286165,11438,133000000000,138000000000,Very High,330.694,79644.298,79974.992,46.943,Relatively Low,89141.319,44.723,Relatively Low,Very Low,Very Low,Very Low,22,0.627,4393.939,5109286165,11438,133000000000,138000000000,Relatively Low,10556.722,1369.562,16119.064,8.002,Very Low,16667.701,5.059,Very Low,0.591,4393.939,5109286165,11438,133000000000,138000000000,Very Low,121412.4,11369.319,135711.581,18.393,Very Low,143553.082,15.304,Very Low,95.596,1064470421,1803.092,20915864782,22004246282,Relatively High,298350.866,7000.376,305910.458,76.901,Relatively Low,301428.938,74.928,Relatively Low,185.015,11.456,4393.939,5109286165,11438,133000000000,138000000000,Relatively Moderate,22575.622,142242.178,165066.604,78.582,Relatively Moderate,181966.65,77.665,Relatively Moderate
79,Montana,MT,Flathead,104238,21135609776,5309.073,25572758.08,83.901,Relatively Moderate,84.618,Relatively Moderate,24238257.47,13606642.2,0.893,10361362.17,22.72,Relatively Low,50.67,Relatively Moderate,2.6,1.055,Relatively High,Relatively Moderate,Relatively Low,5309.073,Very Low,Very High,Very High,5309.073,Very Low,Very Low,Very Low,5309.073,21135236000,104357,1210000000000,1230000000000,0.166,Relatively High,9366254.9,3337640.82,12703895.72,95.791,Relatively Moderate,13750589.15,95.832,Relatively Moderate,12,0.332,5309.073,21135609776,104238,1210000000000,1230000000000,Very Low,3449.321,960.373,4508.599,8.778,Very Low,4708.134,5.791,Very Low,5309.073,Relatively Low,Relatively Low,Relatively Low,0.015,5309.073,21135609776,104238,1210000000000,1230000000000,Relatively Moderate,225.661,16619.764,16845.426,27.881,Very Low,17593.096,26.282,Very Low,Very Low,Relatively High,Relatively High,112,5.053,5309.073,21135609776,104238,1210000000000,1230000000000,Very High,45.083,266063.676,266108.759,78.958,Relatively Moderate,280966.703,76.834,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,7,0.179,5309.073,21135609776,104238,1210000000000,1230000000000,Relatively Low,8395.423,71573.213,80127.258,20.471,Relatively Low,84290.326,16.608,Very Low,0.063,5309.073,21135609776,104238,1210000000000,1230000000000,Very Low,2136.358,13776.299,15940.106,6.7,Very Low,16692.481,4.709,Very Low,38.255,3185328891,16846.148,195000000000,199000000000,Relatively Low,3482562.592,10849.112,3493578.665,94.973,Relatively Moderate,3342027.031,94.146,Relatively Moderate,224.03,13.872,5309.073,21135604934,104237.922,1210000000000,1230000000000,Very Low,42439.696,100710.626,143189.054,75.89,Relatively Moderate,148830.421,73.592,Relatively Moderate
80,Montana,MT,Gallatin,118825,25191534591,2660.364,11864144.52,69.774,Relatively Low,73.507,Relatively Low,13028728.72,9181481.943,0.314,3637725.307,7.8,Very Low,70.43,Relatively High,2.676,0.911,Relatively Moderate,Relatively Moderate,Relatively Moderate,2660.364,Very Low,Relatively Low,Relatively Low,2660.364,Very Low,Relatively Low,Relatively Low,2660.364,25191200000,118960,1380000000000,1410000000000,0.055,Relatively Moderate,6178254.6,1472358.835,7650613.435,94.119,Relatively Moderate,7220215.941,93.955,Relatively Moderate,19,0.55,2660.364,25191534591,118825,1380000000000,1400000000000,Relatively High,797166.081,4664.265,803054.267,87.903,Relatively Moderate,728537.475,85.014,Relatively Moderate,2660.364,Very High,Very Low,Very Low,0.015,2660.364,25191534591,118825,1380000000000,1400000000000,Relatively High,81448.557,21471.513,102920.07,61.726,Relatively Moderate,93402.759,56.895,Relatively Low,Very Low,Relatively Low,Relatively Low,215,9.737,2660.364,25191534591,118825,1380000000000,1400000000000,Very High,605.091,568910.709,569515.8,89.736,Relatively High,518029.13,86.937,Relatively Moderate,Very Low,Relatively Low,Relatively Low,15,0.423,2660.364,25191534591,118825,1380000000000,1400000000000,Relatively Low,4550.926,272374.889,277080.695,46.929,Relatively Low,250936.55,36.621,Relatively Low,0.054,2660.364,25191534591,118825,1380000000000,1400000000000,Relatively Low,82900.285,147671.487,230713.671,24.194,Very Low,208823.116,19.185,Very Low,75.069,3554380012,15483.886,180000000000,183000000000,Relatively Low,1939956.359,33903.781,1974265.946,91.919,Relatively Moderate,1626347.646,89.628,Relatively Moderate,225.042,13.934,2660.364,25191534591,118825,1380000000000,1400000000000,Very Low,2901.864,132603.998,135505.862,74.559,Relatively Moderate,122791.311,68.947,Relatively Moderate
