state,abbrev,county,ColdWaveExposureImpactedAreasqmi,ColdWaveHistoricLossRatioTotalRating,ColdWaveExpectedAnnualLossRating,ColdWaveHazardTypeRiskIndexRating,DroughtExposureImpactedAreasqmi,DroughtHistoricLossRatioTotalRating,DroughtExpectedAnnualLossRating,DroughtHazardTypeRiskIndexRating,HailNumberofEvents,HailAnnualizedFrequency,HailExposureImpactedAreasqmi,HailExposureBuildingValue,HailExposurePopulation,HailExposureTotal,HailHistoricLossRatioTotalRating,HailExpectedAnnualLossBuildingValue,HailExpectedAnnualLossTotal,HailExpectedAnnualLossScore,HailExpectedAnnualLossRating,HailHazardTypeRiskIndexValue,HailHazardTypeRiskIndexScore,HailHazardTypeRiskIndexRating,HeatWaveExposureImpactedAreasqmi,HeatWaveHistoricLossRatioTotalRating,HeatWaveExpectedAnnualLossRating,HeatWaveHazardTypeRiskIndexRating,IceStormAnnualizedFrequency,IceStormExposureImpactedAreasqmi,IceStormExposureBuildingValue,IceStormExposurePopulation,IceStormExposureTotal,IceStormHistoricLossRatioTotalRating,IceStormExpectedAnnualLossBuildingValue,IceStormExpectedAnnualLossTotal,IceStormExpectedAnnualLossScore,IceStormExpectedAnnualLossRating,IceStormHazardTypeRiskIndexValue,IceStormHazardTypeRiskIndexScore,IceStormHazardTypeRiskIndexRating,LandslideHistoricLossRatioTotalRating,LandslideExpectedAnnualLossRating,LandslideHazardTypeRiskIndexRating,LightningNumberofEvents,LightningAnnualizedFrequency,LightningExposureImpactedAreasqmi,LightningExposureBuildingValue,LightningExposurePopulation,LightningExposureTotal,LightningHistoricLossRatioTotalRating,LightningExpectedAnnualLossBuildingValue,LightningExpectedAnnualLossTotal,LightningExpectedAnnualLossScore,LightningExpectedAnnualLossRating,LightningHazardTypeRiskIndexValue,LightningHazardTypeRiskIndexScore,LightningHazardTypeRiskIndexRating,RiverineFloodingHistoricLossRatioTotalRating,RiverineFloodingExpectedAnnualLossRating,RiverineFloodingHazardTypeRiskIndexRating,StrongWindNumberofEvents,StrongWindAnnualizedFrequency,StrongWindExposureImpactedAreasqmi,StrongWindExposureBuildingValue,StrongWindExposurePopulation,StrongWindExposureTotal,StrongWindHistoricLossRatioTotalRating,StrongWindExpectedAnnualLossBuildingValue,StrongWindExpectedAnnualLossTotal,StrongWindExpectedAnnualLossScore,StrongWindExpectedAnnualLossRating,StrongWindHazardTypeRiskIndexValue,StrongWindHazardTypeRiskIndexScore,StrongWindHazardTypeRiskIndexRating,TornadoAnnualizedFrequency,TornadoExposureImpactedAreasqmi,TornadoExposureBuildingValue,TornadoExposurePopulation,TornadoExposureTotal,TornadoHistoricLossRatioTotalRating,TornadoExpectedAnnualLossBuildingValue,TornadoExpectedAnnualLossTotal,TornadoExpectedAnnualLossScore,TornadoExpectedAnnualLossRating,TornadoHazardTypeRiskIndexValue,TornadoHazardTypeRiskIndexScore,TornadoHazardTypeRiskIndexRating,WinterWeatherNumberofEvents,WinterWeatherAnnualizedFrequency,WinterWeatherExposureImpactedAreasqmi,WinterWeatherExposureBuildingValue,WinterWeatherExposurePopulation,WinterWeatherExposureTotal,WinterWeatherHistoricLossRatioTotalRating,WinterWeatherExpectedAnnualLossBuildingValue,WinterWeatherExpectedAnnualLossTotal,WinterWeatherExpectedAnnualLossScore,WinterWeatherExpectedAnnualLossRating,WinterWeatherHazardTypeRiskIndexValue,WinterWeatherHazardTypeRiskIndexScore,WinterWeatherHazardTypeRiskIndexRating
Colorado,CO,Clear Creek,400.338,Very Low,Relatively Low,Relatively Low,400.338,No Rating,No Expected Annual Losses,No Rating,203,5.954,400.338,2362602784,9391,111000000000,Relatively High,742242.256,765021.943,87.252,Relatively Moderate,762908.515,85.81,Relatively Moderate,400.338,No Rating,No Expected Annual Losses,No Rating,0.015,400.338,2362602784,9391,111000000000,Relatively High,2004.896,6628.865,16.289,Very Low,6580.73,13.724,Very Low,Very Low,Relatively Moderate,Relatively Moderate,899,40.855,400.338,2362602784,9391,111000000000,Very High,2987.679,226234.082,75.644,Relatively Moderate,213778.246,70.624,Relatively Moderate,Very Low,Very Low,Very Low,29,0.844,400.338,2362602784,9391,111000000000,Very High,249035.633,385137.146,56.483,Relatively Moderate,383185.2,49.857,Relatively Low,0.235,400.338,2362602784,9391,111000000000,Relatively Moderate,212042.765,273941.611,26.21,Very Low,272640.326,22.272,Very Low,194.974,12.073,400.338,2362602784,9391,111000000000,Relatively Low,51553.533,71329.204,59.889,Relatively Moderate,71867.42,54.884,Relatively Low
Colorado,CO,Conejos,1304.027,Very Low,Relatively Low,Relatively Low,1304.027,Very Low,Relatively Low,Relatively Low,11,0.322,1304.027,1839089192,7453,88355741080,Relatively High,11775.518,20022.195,22.115,Very Low,33725.465,25.803,Very Low,1304.027,No Rating,No Expected Annual Losses,No Rating,0.015,1304.027,1839089192,7453,88293889192,Relatively Moderate,12.105,1358.852,4.53,Very Low,2314.74,5.796,Very Low,Relatively High,Relatively Low,Relatively Low,436,19.813,1304.027,1839089192,7453,88293889192,Relatively Moderate,848.851,14991.015,9.685,Very Low,25750.99,14.801,Very Low,Relatively Low,Very Low,Very Low,2,0.044,1304.027,1839089192,7453,88355741080,Relatively Moderate,967.486,3515.388,4.218,Very Low,6027.985,2.386,Very Low,0.083,1304.027,1839089192,7453,88355741080,Relatively Low,17111.905,33856.774,9.584,Very Low,57224.353,9.354,Very Low,109.491,6.78,1304.027,1839089192,7453,88355741080,Very Low,697.422,2587.277,7.521,Very Low,4297.672,6.777,Very Low
Colorado,CO,Costilla,1243.43,Very Low,Relatively Low,Relatively Low,1243.43,Very Low,Very Low,Relatively Low,37,1.079,1243.43,1034056438,3420,40731362094,Relatively Moderate,22428.733,30401.184,28.939,Very Low,53507.579,34.553,Very Low,1243.43,No Rating,No Expected Annual Losses,No Rating,0.015,1243.43,1034056438,3420,40706056438,Relatively Moderate,6.806,624.796,2.232,Very Low,1083.27,2.898,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,416,18.873,1243.43,1034056438,3420,40706056438,Relatively High,521.763,26829.198,17.728,Very Low,46486.525,24.743,Very Low,Relatively Low,Very Low,Very Low,4,0.116,1243.43,1034056438,3420,40731362094,Relatively Moderate,3727.97,5473.909,5.025,Very Low,9677.125,3.309,Very Low,0.13,1243.43,1034056438,3420,40731362094,Relatively Low,14076.601,18146.411,7.258,Very Low,31642.026,6.745,Very Low,64.835,4.015,1243.43,1034056438,3420,40731362094,Very Low,469.377,2528.769,7.459,Very Low,4432.661,6.841,Very Low
Colorado,CO,Crowley,808.412,Very Low,Relatively Low,Relatively Low,808.412,Very Low,Very Low,Very Low,167,4.884,808.412,603832603,5922,69409459863,Relatively Moderate,104134.84,210327.159,68.114,Relatively Low,316473.505,72.256,Relatively Low,808.412,No Rating,No Expected Annual Losses,No Rating,0.015,808.412,603832603,5922,69299032603,Relatively High,1952.294,3022.392,8.628,Very Low,4483.477,10.26,Very Low,Relatively High,Very Low,Very Low,609,27.681,808.412,603832603,5922,69299032603,Relatively High,119.801,49718.009,30.985,Relatively Low,73000.861,38.353,Relatively Low,Relatively Low,Very Low,Very Low,32,0.935,808.412,603832603,5922,69409459863,Relatively High,51763.585,127139.773,27.699,Relatively Low,189072.119,30.003,Relatively Low,0.37,808.412,603832603,5922,69409459863,Relatively Low,39411.518,99202.108,15.664,Very Low,148006.702,15.622,Very Low,27.005,1.672,808.412,603832603,5922,69409459863,Relatively Moderate,2173.429,33301.615,41.69,Relatively Low,49023.19,45.275,Relatively Low
Colorado,CO,Custer,747.394,Very Low,Very Low,Very Low,747.394,Very Low,Very Low,Very Low,91,2.651,747.394,1422300189,4686,55791007495,Relatively High,198265.379,210575.361,68.145,Relatively Low,190611.239,62.17,Relatively Low,747.394,No Rating,No Expected Annual Losses,No Rating,0.015,747.394,1422300189,4686,55779900189,Relatively High,4598.541,5445.294,14.024,Very Low,4928.095,11.026,Very Low,Relatively Moderate,Relatively Low,Relatively Low,754,34.245,747.394,1422300189,4686,55779900189,Very High,2613.257,70030.955,43.308,Relatively Low,64282.291,33.559,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,9,0.262,747.394,1422300189,4686,55791007495,Very High,33829.486,62141.461,17.711,Very Low,56491.733,12.409,Very Low,0.122,747.394,1422300189,4686,55791007495,Relatively Low,34235.082,53289.41,12.097,Very Low,48374.975,8.622,Very Low,109.065,6.753,747.394,1422300189,4686,55791007495,Relatively Low,3577.468,36883.345,44.166,Relatively Low,33777.269,36.144,Relatively Low
Colorado,CO,Delta,1160.202,Relatively Moderate,Very Low,Very Low,1160.202,Very Low,Relatively Low,Relatively Low,6,0.149,1160.202,5813568607,31182,368000000000,Relatively Moderate,12200.208,16970.186,20.006,Very Low,22193.957,19.504,Very Low,1160.202,Relatively Moderate,Very Low,Very Low,0.015,1160.202,5813568607,31182,368000000000,Relatively High,18796.266,24430.81,34.544,Relatively Low,32304.644,36.409,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,401,18.2,1160.202,5813568607,31182,368000000000,Relatively High,3256.594,169006.912,69.466,Relatively Moderate,221026.086,71.879,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,11,0.301,1160.202,5813568607,31182,368000000000,Relatively Moderate,30953.49,97481.953,23.573,Relatively Low,127918.696,22.272,Relatively Low,0.032,1160.202,5813568607,31182,368000000000,Relatively Low,16048.979,39612.023,10.515,Very Low,52782.454,9.004,Very Low,194.966,12.072,1160.202,5813568607,31182,368000000000,Very Low,420.216,1917.059,6.561,Very Low,2406.765,4.136,Very Low
Colorado,CO,Denver,156.287,Relatively Low,Very High,Very High,156.287,Very Low,Very Low,Very Low,288,8.458,156.287,121000000000,715210,8420000000000,Relatively Moderate,35356396.84,35476946.42,99.721,Very High,38393846.42,99.714,Very High,156.287,No Rating,No Expected Annual Losses,No Rating,0.016,156.287,121000000000,715210,8420000000000,Very Low,8748.328,9983.095,21.419,Very Low,10859.555,19.654,Very Low,Very Low,Relatively Moderate,Relatively Moderate,777,35.287,156.287,121000000000,715210,8420000000000,Relatively Low,80601.209,986591.855,95.142,Relatively High,1105773.329,95.045,Relatively High,Very Low,Relatively Low,Relatively Low,42,1.233,156.287,121000000000,715210,8420000000000,Very Low,185882.941,505522.443,65.819,Relatively Moderate,561608.587,62.711,Relatively Moderate,0.158,156.287,121000000000,715210,8420000000000,Relatively Moderate,17466849.72,25552470.08,98.418,Relatively High,28019300.41,98.314,Relatively High,73.014,4.521,156.287,121000000000,715210,8420000000000,Very Low,80966.48,157424.952,77.809,Relatively Moderate,173831.013,76.647,Relatively Moderate
Colorado,CO,Dolores,1079.003,No Rating,No Expected Annual Losses,No Rating,1079.003,Very Low,Very Low,Very Low,5,0.129,1079.003,1193517034,2322,28138495854,Relatively High,2081.95,2546.637,6.514,Very Low,2350.829,3.627,Very Low,1079.003,Relatively Moderate,Very Low,Very Low,0.015,1079.003,1193517034,2322,28128717034,Very High,3858.846,4278.428,11.359,Very Low,3949.464,8.961,Very Low,Relatively Moderate,Relatively Low,Relatively Low,707,32.1,1079.003,1193517034,2322,28128717034,Relatively High,299.046,19976.211,13.674,Very Low,18440.259,10.006,Very Low,Relatively Moderate,Very Low,Very Low,4,0.108,1079.003,1193517034,2322,28138495854,Relatively High,3482.727,5506.24,5.118,Very Low,5082.871,2.068,Very Low,0.047,1079.003,1193517034,2322,28138495854,Relatively Low,2953.373,4756.044,3.04,Very Low,4390.357,2.291,Very Low,266.526,16.503,1079.003,1193517034,2322,28138495854,Very Low,1406.311,5323.767,12.318,Very Low,4914.428,7.572,Very Low
Colorado,CO,Douglas,851.299,Relatively Low,Very High,Very High,851.299,Very Low,Very Low,Very Low,257,7.531,851.299,65157194587,357700,4210000000000,Very Low,627015.902,977083.586,89.423,Relatively Moderate,731646.594,85.142,Relatively Moderate,851.299,No Rating,No Expected Annual Losses,No Rating,0.015,851.299,65157194587,357700,4210000000000,Relatively High,55292.142,231417.582,78.514,Relatively Moderate,173965.017,69.92,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,1238,56.274,851.299,65157194587,357700,4210000000000,Relatively Low,117361.919,1082656.162,95.624,Relatively High,818715.238,92.535,Relatively High,Relatively Low,Relatively Low,Relatively Low,37,1.059,851.299,65157194587,357700,4210000000000,Relatively Low,344520.366,1849379.289,91.935,Relatively High,1387603.643,86.573,Relatively Moderate,0.842,851.378,65157194587,357700,4210000000000,Relatively Low,9288352.978,13222178.62,96.061,Relatively High,9933903.312,93.541,Relatively High,115.405,7.146,851.299,65157194587,357700,4210000000000,Very Low,232168.744,243184.092,85.577,Relatively High,182538.741,77.951,Relatively Moderate
Colorado,CO,Eagle,1708.873,Relatively Low,Very Low,Very Low,1708.873,Very Low,Very Low,Very Low,14,0.401,1708.873,15224538286,55552,660000000000,Relatively High,290237.477,299045.126,74.783,Relatively Low,273600.977,69.01,Relatively Low,1708.873,No Rating,No Expected Annual Losses,No Rating,0.015,1708.873,15224538286,55552,660000000000,Relatively High,49223.547,59261.716,51.166,Relatively Low,62133.736,49.3,Relatively Low,Very Low,Relatively High,Relatively Moderate,412,18.698,1708.873,15224538286,55552,660000000000,Relatively High,12695.667,375196.686,84.524,Relatively Moderate,404112.443,83.462,Relatively Moderate,Very Low,Relatively Low,Relatively Low,8,0.225,1708.873,15224538286,55552,660000000000,Very Low,4816.291,10928.872,6.545,Very Low,11388.862,3.563,Very Low,0.049,1708.873,15224538286,55552,660000000000,Relatively Low,89301.703,160474.493,20.285,Very Low,157753.15,16.036,Very Low,315.813,19.555,1708.873,15224538286,55552,660000000000,Very Low,518.399,2252.924,7.211,Very Low,2305.674,3.977,Very Low
