Code,Name,Physical Address,City,County,,Rural Health Clinics,,,Critical Access Hospitals,,,Hospitals,
CAH,Monument Health Custer Hospital,1220 Montgomery St,Custer,Custer,,,,,,,,,
CAH,Monument Health Lead-Deadwood Hospital,61 Charles St,Deadwood,Lawrence,,,,,,,,,
CAH,Monument Health Sturgis Hospital,2140 Junction Ave,Sturgis,Meade,,,,,,,,,
CAH,"Philip Health Services, Inc.",503 W Pine Street,Philip,Haakon,,,,,,,,,
CAH,Pioneer Memorial Hospital,315 N Washington,Viborg,Turner,,,,,,,,,
CAH,Platte Health Center,601 East 7th St,Platte,Charles Mix,,,,,,,,,
CAH,Sanford Canton-Inwood Medical Center,440 N Hiawatha Dr,Canton,Lincoln,,,,,,,,,
CAH,Sanford Clear Lake Medical Center,701 3rd Ave South,Clear Lake,Deuel,,,,,,,,,
CAH,Sanford Chamberlain Medical Center,300 S Byron Blvd,Chamberlain,Brule,,,,,,,,,
CAH,Sanford Webster Medical Center,1401 W First St,Webster,Day,,,,,,,,,
CAH,Sanford Vermillion Hospital,20 S Plum Street,Vermillion,Clay,,,,,,,,,
CAH,Avera St. Benedict Health Center,401 W Glynn Dr,Parkston,Hutchinson,,,,,,,,,
CAH,St. Michael`s Hospital,410 W 16th Ave,Tyndall,Bon Homme,,,,,,,,,
CAH,Wagner Community Memorial Hospital,513 3rd St SW,Wagner,Charles Mix,,,,,,,,,
CAH,Winner Regional Healthcare Center,745 E 8th St,Winner,Tripp,,,,,,,,,
HOSP,Avera McKennan Hospital and University Health Center,1325 S. Cliff Ave.,Sioux Falls,Minnehaha,,,,,,,,,
HOSP,Avera St. Luke's,305 S State St,Aberdeen,Brown,,,,,,,,,
HOSP,Avera St. Mary`s Hospital,801 E Sioux,Pierre,Hughes,,,,,,,,,
HOSP,City of Brookings dba Brookings Health System,300 22nd Ave,Brookings,Brookings,,,,,,,,,
HOSP,Monument Health Rapid City Hospital,353 Fairmont Blvd,Rapid City,Pennington,,,,,,,,,
HOSP,Monument Health Spearfish Hospital,1440 N Main St,Spearfish,Lawrence,,,,,,,,,
HOSP,Prairie Lakes Healthcare System,401 9th Ave NW,Watertown,Codington,,,,,,,,,
HOSP,Avera Sacred Heart Hospital,501 Summit St,Yankton,Yankton,,,,,,,,,
HOSP,Sanford Aberdeen Medical Center,2905 3rd Ave SE,Aberdeen,Brown,,,,,,,,,
HOSP,Sanford USD Medical Center,1305 W 18th St,Sioux Falls,Minnehaha,,,,,,,,,
