state,City,County,,,Rural Health Clinics,,,Critical Access Hospitals,,,Hospitals,
wyoming,"Ambulatory Surgery Clinic
 1150 W Main St.
 Lander WY 82520",Fremont County,,,Big Horn County,4,,Big Horn County,2,,Big Horn County,0
wyoming,"Western Wyoming Medical LLC
 535 East Main St., Suite C
 Lander WY 82520",Fremont County,,,Niobrara County,1,,Niobrara County,1,,Niobrara County,0
wyoming,"Premier Bone and Joint Ambulatory Surgical Center
 1909 Vista Dr.
 Laramie WY 82070",Albany County,,,Carbon County,1,,Carbon County,1,,Carbon County,1
wyoming,"Rock Springs Plastic Surgery Center
 1180 College Dr #3-3
 Rock Springs WY 82901",Sweetwater County,,,Bear Lake County,0,,Bear Lake County,0,,Bear Lake County,0
wyoming,"Sweetwater Surgery Center LLC
 2761 Commercial Way
 Rock Springs WY 82901",Sweetwater County,,,Bonneville County,0,,Bonneville County,0,,Bonneville County,0
wyoming,"Sheridan Surgical Center LLC
 1524 West 5th St.
 Sheridan WY 82801",Sheridan County,,,Maricopa County,0,,Maricopa County,0,,Maricopa County,0
wyoming,"Beyond Home Assisted Living 
 153 Doyle Child Cir.
 Afton WY 83110",Lincoln County,,,Utah County,0,,Utah County,0,,Utah County,0
wyoming,"Agape Manor Inc.
 830 North Main St.
 Buffalo WY 82834",Johnson County,,,Mesa County,0,,Mesa County,0,,Mesa County,0
wyoming,"Veterans' Home of Wyoming
 700 Veterans' Lane
 Buffalo WY 82834",Johnson County,,,Scotts Bluff County,0,,Scotts Bluff County,0,,Scotts Bluff County,0
wyoming,"Willow Creek Homes of Buffalo
 1 North Klondike
 Buffalo WY 82834",Johnson County,,,Sublette County,0,,Sublette County,0,,Sublette County,0
wyoming,"Casper Assisted Living LLC
 dba/Garden Square of Casper
 1950 South Beverly St.
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"EMG Casper MW LLC
 dba/Edgewood Meadow Wind 
 3955 East 12th St.
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"EMG Casper PP LLC
 dba/Edgewood Park Place Assisted Living Community
 1930 East 12th St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"EP-MPAL LLC
 dba/Mountain Plaza Assisted Living
 4154 Talon Dr.
 Casper WY 82604",Natrona County,,,,,,,,,,
wyoming,"TSMM Management LLC
 dba/Primrose Retirement Community of Casper
 1865 South Beverly St.
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"EMG Cheyenne AW LLC
 dba/Aspen Wind Assisted Living Community
 4010 North College Dr.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Cheyenne Retirement Investors Limited Partnership
 dba/Pointe Frontier Retirement Community
 1406 Prairie Ave.
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"Primrose Retirement Community of Cheyenne
 1530 Dorothy Lane
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"Cottonwood Creek of Cheyenne
 6800 Faith Drive
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"EMG Cheyenne SH LLC
 dba/Sierra Hills Assisted Living Community
 4606 North College Dr.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Absaroka Senior Living
 2401 Cougar Ave.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Dubois Assisted Living Inc.
 dba/Warm Valley Lodge Assisted Living
 5643 US Hwy 26
 Dubois WY 82513",Fremont County,,,,,,,,,,
wyoming,"Mountain Lodge LLC
 1110 Birch Street
 Douglas WY 82633",Converse County,,,,,,,,,,
wyoming,"Compassionate Journey LLC
 624 Twin Ridge Ave.
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Willow Creek Homes of Evanston
 1949 West Uinta St.
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Gillette Retirement LLC
 dba/Primrose Retirement Community of Gillette
 921 Mountain Meadow Lane
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"Mission at The Villa
 1445 Uinta Dr.
 Green River WY 82935",Sweetwater County,,,,,,,,,,
wyoming,"Showboat Retirement Center
 150 Wyoming St.
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"EMG Laramie LLC
 dba/Spring Wind Assisted Living Community
 1072 North 22nd St.
 Laramie WY 82072",Albany County,,,,,,,,,,
wyoming,"Cambria Heights LLC
 dba/Mondell Heights Retirement Community
 106 East Main St
 Newcastle WY 82701",Weston County,,,,,,,,,,
wyoming,"Heartland Assisted Living
 777 Ave. H
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Homestead Assisted Living
 950 Homestead Ave.
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"EP-RSAL LLC
 dba/Deer Trail Assisted Living
 2360 Reagan Ave.
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Cascades of Sugarland Ridge
 1551 Sugarland Drive
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Wyoming Assisted Living LLC
 108 Abby Lane
 Sundance WY 82729",Crook County,,,,,,,,,,
wyoming,"Legacy Homes Assisted Living & Adult Day Care
 2391 Muddystring Co Rd 117
 Thayne WY 83127",Lincoln County,,,,,,,,,,
wyoming,"Wyoming Pioneer Home
 141 Pioneer Home Dr.
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Evergreen Plaza Assisted Living Facility
 536 East 20th Avenue
 Torrington, WY 82240",Goshen County,,,,,,,,,,
wyoming,"Platte County Legacy Home and Assisted Living
 98 19th St.
 Wheatland WY 82201",Platte County,,,,,,,,,,
wyoming,"Willow Creek Homes of Cody
 2716 Cougar Ave.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Willow Creek Homes of Gillette
 2300 Harder Dr.
 Gillette WY 82718",Campbell County,,,,,,,,,,
wyoming,"Willow Creek Homes of Sheridan
 561 Avoca Ave.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Evergreen Court
 2010 East F St.
 Torrington WY 82240",Goshen County,,,,,,,,,,
wyoming,"Willow Creek Homes of Worland
 711 South 15th St.
 Worland WY 82401",Washakie County,,,,,,,,,,
wyoming,"Gottsche Rehabilitation Center
 148 East Arapahoe
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Star Valley Health
 901 Adams St.
 Afton WY 83110",Lincoln County,,,,,,,,,,
wyoming,"South Big Horn County Critical Access Hospital
 388 South US Hwy 20
 Basin WY 82410",Big Horn County,,,,,,,,,,
wyoming,"Johnson County Memorial Hospital
 dba/Johnson County Healthcare Center
 497 West Lott
 Buffalo WY 82834",Johnson County,,,,,,,,,,
wyoming,"West Park Hospital District
 dba/Cody Regional Health
 707 Sheridan Ave.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Memorial Hospital of Converse County
 111 South 5th St.
 Douglas WY 82633",Converse County,,,,,,,,,,
wyoming,"South Lincoln Hospital District
 dba/South Lincoln Medical Center
 711 Onyx St.
 Kemmerer WY 83101",Lincoln County,,,,,,,,,,
wyoming,"North Big Horn Hospital District
 1115 Lane 12
 Lovell WY 82431",Big Horn County,,,,,,,,,,
wyoming,"Niobrara County Hospital District
 921 South Ballancee Ave.
 Lusk WY 82225",Niobrara County,,,,,,,,,,
wyoming,"Weston County Hospital District
 dba/Weston County Health Services
 1124 Washington Blvd
 Newcastle WY 82701",Weston County,,,,,,,,,,
wyoming,"Powell Valley Hospital
 777 Ave H
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Memorial Hospital of Carbon County 
 2221 West Elm St.
 Rawlins WY 82301",Carbon County,,,,,,,,,,
wyoming,"Crook County Medical Services District
 713 Oak St.
 Sundance WY 82729",Crook County,,,,,,,,,,
wyoming,"Hot Springs County Hospital District
 dba/Hot Springs County Memorial Hospital
 150 East Arapahoe
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Community Hospital
 2000 Campbell Dr.
 Torrington WY 82240",Goshen County,,,,,,,,,,
wyoming,"Platte County Memorial Hospital
 201 14th St.
 Wheatland WY 82201",Platte County,,,,,,,,,,
wyoming,"Washakie Medical Center
 400 South 15th St. 
 Worland WY 82401",Washakie County,,,,,,,,,,
wyoming,"USRC Casper LLC
 dba/US Renal Care Casper Dialysis
 1300 Venture Way, Suite 100
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"Wyoming Kidney Center LLC
 dba/US Renal Care Wyoming Dialysis
 1141 Wilkins Circle
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Bio-Medical Applications of Wyoming LLC
 dba/Fresenius Medical Care of Cheyenne
 1739 Meadowland Dr.
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"CHWY Partners, LLC
 dba/US Renal Care Cheyenne Dialysis
 1760 Prairie Avenue, Suite 102
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"Big Horn Basin Regional Dialysis Center LLC
 dba/Cody Regional Health Dialysis LLC
 424 Yellowstone Ave. Ste. 150
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Evanston Dialysis Center
 112 Yellowcreek Dr.
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Wind River Dialysis Center
 11 Shipton Lane
 Fort Washakie WY 82514",Fremont County,,,,,,,,,,
wyoming,"Campbell County Memorial Hospital Dialysis Center
 501 South Burma Ave.
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"Ivinson Memorial Hospital Dialysis Services
 255 North 30th St.
 Laramie WY 82072",Albany County,,,,,,,,,,
wyoming,"Memorial Hospital of Sweetwater County Dialysis Unit
 1180 College Dr.
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Watt Dialysis Center LLC
 1401 West 5th St.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Community Health Center of Central Wyoming
 dba/Community Health Center of Central Wyoming-Conwell Clinic
 5000 Blackmore Road
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Community Health Center of Central Wyoming Inc.
 2546 East 2nd Street, Suite 600
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"Health Care for the Homeless Clinic
 1514 East 12 St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"University of Wyoming
 dba/University of Wyoming Family Medicine Residency-Casper
 1522E A St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Cheyenne Health and Wellness Center
 2508 East Fox Farm Rd #1A
 Cheyenne WY 82007",Laramie County,,,,,,,,,,
wyoming,"Laramie County Health Care for the Homeless
 dba/Crossroads Healthcare Clinic
 1620 Central Ave. Ste. 30
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"University of Wyoming
 dba/University of Wyoming Family Medicine 
 820 East 17th St.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Dubois Medical Clinic
 5647 US Highway 26
 Dubois WY 82513",Fremont County,,,,,,,,,,
wyoming,"Bear Lake Community Health Center
 dba/Evanston Community Health Center
 75 Yellow Creek Rd Ste. 102
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Bighorn Valley Health Center Inc
 dba/One Health
 444 Greybull Avenue
 Greybull WY 82426",Big Horn County,,,,,,,,,,
wyoming,"Community Health Center of Central Wyoming Inc.
 dba/Fremont County Pediatrics Lander
 115 Wyoming Street
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"University of Wyoming
 dba/ Albany Community Health Clinic
 1174 N 22nd Street
 Laramie WY 82070",Albany County,,,,,,,,,,
wyoming,"Bighorn Valley Health Center Inc
 dba/One Health
 229 E Main St
 Lovell WY 82431",Big Horn County,,,,,,,,,,
wyoming,"Montana Migrant & Seasonal Farmworkers Council, Inc.
 dba/Ag Worker Health & Services
 233 East 2nd Street
 Powell, WY 82435",Park County,,,,,,,,,,
wyoming,"Bighorn Valley Health Center Inc
 dba/One Health
 126 North Bent Street
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Bighorn Valley Health Center Inc
 dba/One Health
 128 North Bent Street
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Bighorn Valley Health Center Inc
 dba/One Health
 130 North Bent Street, Suite B
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Community Health Center of Central Wyoming Inc.
 1035 Rose Ln Bldg
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Riverton Community Health Center
 2002 West Sunset Dr., Ste. 2
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Bear Lake Community Health Center
 dba/Rock Springs Community Health Center
 2620 Commercial Way, Suite 140
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Bighorn Valley Health Center Inc
 dba/One Health
 201 E 5th St
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Northwest Community Action Programs
 1922 Robertson
 Worland WY 82401",Washakie County,,,,,,,,,,
wyoming,"Symbii Home Health
 770 Washington St, Suite #B
 Afton WY 83110",Lincoln County,,,,,,,,,,
wyoming,"Buffalo Senior Center
 671 West Fetterman Street
 Buffalo WY 82834",Johnson County,,,,,,,,,,
wyoming,"Johnson County Healthcare Center Home Health Agency
 497 West Lott
 Buffalo WY 82834",Johnson County,,,,,,,,,,
wyoming,"All About Family Inc.
 195 Pronghorn
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Bear Country Home Healthcare LLC
 340 W 1st Street
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"CaringEdge Healthcare of Casper LLC
 5870 E 2nd Street
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"Casper Home Health LLC
 126 N Wilson
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"EH Health Home Health of the Northwest LLC
 dba/Enhabit Home Health
 907 North Poplar St., Ste. 277
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Epsilon Health Solutions LLC
 145 S Durbin St., Suite 105
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Intermountain Home Companions Inc.
 dba/Intermountain Home Health
 800 Werner Court #125
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Advantage Healthcare LLC
 109 E 17th St., Suite 223
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Continue Care Home Health Agency Inc.
 410 Manewal Dr.
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"Eden Home Health of Cheyenne 
 dba/Eden Home Health
  2232 Dell Range Blvd, Suite 100
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"EH Health Home Health of the Northwest LLC
 dba/Enhabit Home Health 
 4024 Laramie St.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Humble Horizon Home Health LLC
 4016 Laramie Street
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"Memorial Hospital of Laramie County 
 dba/Cheyenne Regional Medical Center Home Care Services
 2600 East 18th St.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Village Caregiving LLC
 1920 Thomes Ave., Suite 610
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Cody Regional Health Home Health
 1021 9th St.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Hands 2 Help LLC
 178 Blackburn St.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Best Home Health & Hospice LLC
 105 Yellow Creek Road
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Integrity Home Care
 204 Troy Court
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Uinta Home Health
 1229 Uinta St.
 Evanston WY 82931",Uinta County,,,,,,,,,,
wyoming,"Campbell County Memorial Hospital Home Health
 300 South Burma Ave.
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"Campbell County Public Health Nursing Services
 2301 South 4-J Rd
 Gillette WY 82718",Campbell County,,,,,,,,,,
wyoming,"Davis Home Health LLC
 dba/Healing Hearts Home Health
 902 East 3rd St.
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"Kindred Souls of Wyoming LLC
 801 E 4th Street, Ste. #7
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"TenderCare Home Health
 400 S Gillette Ave., Ste. 109
 Gillette WY 82716",Campbell County,,,,,,,,,,
wyoming,"Wyoming Home Health Inc.
 dba/Home and Care Gillette
 1103 E Boxelder Rd, Suite J-B
 Gillette WY 82718",Campbell County,,,,,,,,,,
wyoming,"BCBU, Inc. 
 dba/Rocky Mountain Home Care-Green River
 175 Riverview Dr. Suite A
 Green River WY 82935",Sweetwater County,,,,,,,,,,
wyoming,"hAvn Medical
 155 West Gill Avenue
 Jackson WY 83002",Teton County,,,,,,,,,,
wyoming,"St John's Home Care
 555 East Broadway, Ste. 115
 Jackson WY 83001",Teton County,,,,,,,,,,
wyoming,"Senior Center of Jackson Hole Inc.
 830 E Hansen Ave.
 Jackson WY 83001",Teton County,,,,,,,,,,
wyoming,"EH Health Home Health of the Northwest LLC
 dba/Enhabit Home Health 
 230 North First St.
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"Orion Homecare, LLC 
 dba/Enhabit Home Health
 1275 N 15th Street, Suite 121
 Laramie WY 82072",Albany County,,,,,,,,,,
wyoming,"Premium Health at Home Inc.
 1262 N 22nd St., Suite B
 Laramie WY 82070",Albany County,,,,,,,,,,
wyoming,"Quality Home Health Care Inc.
 2523 E Garfield, Ste. D
 Laramie WY 82070",Albany County,,,,,,,,,,
wyoming,"Weston County Hospital District
 dba/Weston County Health Services 
 725 Washington Blvd
 Newcastle WY 82701",Weston County,,,,,,,,,,
wyoming,"Hyland Nursing Service, LLC
 306 1/2 N Bent St
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Compassionate Home Care LTD
 155 Trail Dr.
 Ranchester WY 82839",Sheridan County,,,,,,,,,,
wyoming,"Premium Health at Home Rawlins LLC
 405 W Cedar St., Suite B
 Rawlins WY 82301",Carbon County,,,,,,,,,,
wyoming,"Four Corners Healthcare LLC
 614 E Main St., Suite C
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Grand Valley In-Home 24hr Nursing
 804 Cheryl Sue Dr
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Rock Springs Young at Heart 
 2400 Reagan Ave.
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Devoted to Home LLC
 532 Val Vista St., Suite 104
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Sheridan Memorial Hospital Home Care
 1401 W 5th St.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"the Hub?on Smith, Help at Home
 211 Smith Street
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Wyoming Home Health & Hospice Big Horn Inc.
 dba//Home and Care Sheridan
 304 Coffeen Ave., Suite B
 Sheridan, WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Premier Home Health Inc.
 487A North Main St., Ste. 2
 Thayne WY 83127",Lincoln County,,,,,,,,,,
wyoming,"Community Home Health Services LLC
 224 S 6th St.
 Thermopolis WY 82443",Hot Springs County,,,,,,,,,,
wyoming,"Cowboy Cares Inc.
 dba/Cowboy Cares Home Health & Hospice
 39806 Business Loop 80, Suite 2
 Urie WY 82937",Uinta County,,,,,,,,,,
wyoming,"Washakie County Senior Citizens Center
 300 S 14th Street
 Worland WY 82401",Washakie County,,,,,,,,,,
wyoming,"Bear Lake Memorial Hospital Home Health
 465 Washington St.
 Montpelier ID 83254",Bear Lake County,,,,,,,,,,
wyoming,"Critical Nurse Staffing, LLC
 dba/CNSCares
 1552 S. Midway Avenue
 Ammon ID 83406",Bonneville County,,,,,,,,,,
wyoming,"Enliven Home Infusion Specialists LLC
 700 N Estrella Pkwy, Suite 235
 Goodyear AZ 85338",Maricopa County,,,,,,,,,,
wyoming,"Legacy Home Health LLC
 140 North 100 East
 American Fork UT 84003",Utah County,,,,,,,,,,
wyoming,"Nuclear Care Partners LLC
 631 24 1/2 Road, Suite C
 Grand Junction CO 81505",Mesa County,,,,,,,,,,
wyoming,"Symbii Hospice
 770 Washington St, Suite #2
 Afton WY 83110",Lincoln County,,,,,,,,,,
wyoming,"Susie Bowling Lawrence Hospice
 497 West Lott
 Buffalo WY 82834",Johnson County,,,,,,,,,,
wyoming,"CaringEdge Hospice of Casper LLC
 5870 E 2nd St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Central Wyoming Hospice Program
 319 South Wilson St.
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"EH Hospice of the West LLC
 dba/Enhabit Hospice
 907 North Poplar St., Ste 277
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Eden Hospice at Cheyenne LLC
 dba/Eden Hospice
 Aspen Ridge Building, 2232 Dell Range Blvd, Suite 100
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"EH Hospice of the West LLC
 dba/Enhabit Hospice
 4024 Laramie St.
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Memorial Hospital of Laramie County 
 dba/Cheyenne Regional Davis Hospice Center
 6000 Sycamore Rd
 Cheyenne WY 82009",Laramie County,,,,,,,,,,
wyoming,"Nobel Care Hospice Inc.
 1607 Capitol Ave., Ste. 326
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Cody Regional Health Spirit Mountain Hospice 
 707 Sheridan Ave.
 Cody WY 82414",Park County,,,,,,,,,,
wyoming,"Best Home Health & Hospice LLC
 105 Yellow Creek Road
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Hospice of Campbell County Memorial Hospital
 300 South Burma Ave.
 Gillette WY 82718",Campbell County,,,,,,,,,,
wyoming,"Wyoming Home Health Inc.
 dba/Sharon's Home Health & Hospice
 1103 E Boxelder Rd, Suite J-B
 Gillette WY 82718",Campbell County,,,,,,,,,,
wyoming,"St John's Hospice
 555 E Broadway Ave., Suite 115
 Jackson WY 83001",Teton County,,,,,,,,,,
wyoming,"EH Hospice of the West LLC
 dba/Enhabit Hospice
 230 North First St.
 Lander WY 82520",Fremont County,,,,,,,,,,
wyoming,"Hospice of Laramie
 1754 Centennial Drive
 Laramie WY 82070",Albany County,,,,,,,,,,
wyoming,"Stillwater Hospice of Northern Wyoming
 210 N Bent St.
 Powell WY 82435",Park County,,,,,,,,,,
wyoming,"Help for Health Hospice
 1240 College View Dr.
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Hospice of Sweetwater County 
 333 Broadway Ste. 220
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Sheridan Memorial Hospital Hospice
 1401 W 5th St.
 Sheridan WY 82801",Sheridan County,,,,,,,,,,
wyoming,"Cowboy Cares Inc.
 dba/Cowboy Cares Home Health & Hospice
 39806 Business Loop 80, Suite 2
 Lyman WY 82937",Uinta County,,,,,,,,,,
wyoming,"Regional West Medical Center Hospice
 3701 Ave. B
 Scottsbluff NE 69361",Scotts Bluff County,,,,,,,,,,
wyoming,"Elkhorn Valley Rehabilitation Hospital LLC
 5715 East 2nd St
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"Summit Medical Center LLC
 6350 E 2nd St
 Casper WY 82609",Natrona County,,,,,,,,,,
wyoming,"Wyoming Medical Center
 1233 East 2nd St
 Casper WY 82601",Natrona County,,,,,,,,,,
wyoming,"Memorial Hospital of Laramie County 
 dba/Cheyenne Regional Medical Center
 214 East 23rd St
 Cheyenne WY 82001",Laramie County,,,,,,,,,,
wyoming,"Evanston Regional Hospital
 190 Arrowhead Dr.
 Evanston WY 82930",Uinta County,,,,,,,,,,
wyoming,"Campbell County Hospital District 
 dba/Campbell County Health
 501 South Burma Ave.
 Gillette WY 82717",Campbell County,,,,,,,,,,
wyoming,"Teton County Hospital District
 dba/St John's Health
 625 East Broadway
 Jackson WY 83001",Teton County,,,,,,,,,,
wyoming,"Ivinson Memorial Hospital
 255 North 30th St.
 Laramie WY 82072",Albany County,,,,,,,,,,
wyoming,"Riverton Memorial Hospital LLC
 dba/SageWest Health Care
 2100 West Sunset Dr.
 Riverton WY 82501",Fremont County,,,,,,,,,,
wyoming,"Aspen Mountain Medical Center LLC
 4401 College Dr.
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
wyoming,"Memorial Hospital of Sweetwater County 
 dba/County of Sweetwater
 1200 College Dr.
 Rock Springs WY 82901",Sweetwater County,,,,,,,,,,
