FACILITY NAME,ID NUMBER,TELEPHONE,ADDRESS,UNIT,CITY,COUNTY,ZIP,LICENSE TYPE,CAPACITY,,Mammography,,,Home Health Agency,,,Hospice,,,Ambulatory Surgical Facility,,,Hospital,,,Assisted Living Facility - Type I,,,Assisted Living Facility - Type II,,,End Stage Renal Disease Facility,,,Birthing Center,,,Abortion Clinic,,,Nursing Care Facility,,,Small Health Care Facility,,,Small Health Care Facility - Type N,,Personal Care Agency,
Ashley Regional Medical Center Mammography,F23-106666,4357893342,150 West 100 North,,Vernal,Uintah,84078,Mammography,1,,Tooele,1,,Tooele,0,,Tooele,0,,Tooele,1,,Tooele,1,,Tooele,1,,Tooele,3,,Tooele,1,,Tooele,0,,Tooele,0,,Tooele,1,,Tooele,0,,Tooele,0,Tooele,0
Aspen Ridge Residences Of Lehi,F23-106494,3854407700,564 West Main Street,,Lehi,Utah,84043,Assisted Living Facility - Type II,62,,Carbon,1,,Carbon,1,,Carbon,2,,Carbon,0,,Carbon,1,,Carbon,0,,Carbon,2,,Carbon,1,,Carbon,0,,Carbon,0,,Carbon,2,,Carbon,0,,Carbon,0,Carbon,0
Autumn Care 2 Living Center,F23-106776,4355351652,334 West 300 North,,Hyde Park,Cache,84318,Assisted Living Facility - Type II,16,,Juab,1,,Juab,1,,Juab,1,,Juab,0,,Juab,1,,Juab,2,,Juab,1,,Juab,0,,Juab,0,,Juab,0,,Juab,1,,Juab,0,,Juab,0,Juab,0
Autumn Care Assisted Living,F23-108979,4355570545,336 West 300 North,,Hyde Park,Cache,84318,Assisted Living Facility - Type II,22,,Millard,2,,Millard,1,,Millard,0,,Millard,0,,Millard,2,,Millard,0,,Millard,0,,Millard,0,,Millard,0,,Millard,0,,Millard,1,,Millard,0,,Millard,0,Millard,0
Autumn Care Living Center,F23-106713,4355570545,290 East 4000 North,,Hyde Park,Cache,84318,Assisted Living Facility - Type II,16,,Summit,2,,Summit,0,,Summit,0,,Summit,2,,Summit,1,,Summit,0,,Summit,1,,Summit,0,,Summit,0,,Summit,0,,Summit,0,,Summit,0,,Summit,0,Summit,1
Autumn Park Assisted Living LLC,F23-106476,4352754458,548 North 1100 East,,Washington,Washington,84780,Assisted Living Facility - Type II,16,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,1,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,0,,Morgan,0,Morgan,1
Avamere at Mountain Ridge,F23-107071,8014755111,1885 East Skyline Drive,,South Ogden,Weber,84403,Assisted Living Facility - Type II,119,,Garfield,1,,Garfield,0,,Garfield,0,,Garfield,0,,Garfield,1,,Garfield,0,,Garfield,0,,Garfield,0,,Garfield,0,,Garfield,0,,Garfield,1,,Garfield,0,,Garfield,0,Garfield,0
BMH Kidney Care LLC,F23-107052,4356784625,802 South 200 West,Suite B,Blanding,San Juan,84511,End Stage Renal Disease Facility,1,,Sanpete,2,,Sanpete,2,,Sanpete,1,,Sanpete,0,,Sanpete,2,,Sanpete,1,,Sanpete,3,,Sanpete,0,,Sanpete,0,,Sanpete,0,,Sanpete,1,,Sanpete,0,,Sanpete,0,Sanpete,1
"Beacon Crest Management Of Draper, LLC",F23-106879,8019511300,591 East Pioneer Road,,Draper,Salt Lake,84020,Assisted Living Facility - Type II,50,,Emery,0,,Emery,0,,Emery,0,,Emery,0,,Emery,0,,Emery,1,,Emery,0,,Emery,0,,Emery,0,,Emery,0,,Emery,1,,Emery,0,,Emery,0,Emery,1
Beehive Home Of Layton,F23-106562,8015930338,59 North King Street,,Layton,Davis,84041,Assisted Living Facility - Type I,13,,Wasatch,1,,Wasatch,0,,Wasatch,0,,Wasatch,0,,Wasatch,1,,Wasatch,0,,Wasatch,2,,Wasatch,1,,Wasatch,0,,Wasatch,0,,Wasatch,1,,Wasatch,0,,Wasatch,0,Wasatch,0
Beehive Homes Of American Fork South Building Two,F23-106599,8012164110,164 West 200 South,,American Fork,Utah,84003,Assisted Living Facility - Type II,16,,Beaver,0,,Beaver,1,,Beaver,1,,Beaver,0,,Beaver,2,,Beaver,1,,Beaver,0,,Beaver,0,,Beaver,0,,Beaver,0,,Beaver,0,,Beaver,0,,Beaver,0,Beaver,0
"Beehive Homes Of American Fork South, Building One",F23-106641,8018550597,164 West 200 South,,American Fork,Utah,84003,Assisted Living Facility - Type I,16,,Grand,1,,Grand,0,,Grand,1,,Grand,0,,Grand,1,,Grand,0,,Grand,0,,Grand,0,,Grand,0,,Grand,0,,Grand,1,,Grand,0,,Grand,0,Grand,0
Beehive Homes Of Kanab Al2,F23-106792,4356448100,1364 South Powell Drive,,Kanab,Kane,84741,Assisted Living Facility - Type II,7,,Duchesne,1,,Duchesne,1,,Duchesne,0,,Duchesne,0,,Duchesne,1,,Duchesne,1,,Duchesne,0,,Duchesne,1,,Duchesne,0,,Duchesne,0,,Duchesne,1,,Duchesne,0,,Duchesne,0,Duchesne,1
Beehive Homes Of Maeser,F23-106921,4357893456,940 North 2335 West,,Vernal,Uintah,84078,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Magna,F23-106905,8013003902,3346 South 8000 West,,Magna,Salt Lake,84044,Assisted Living Facility - Type I,16,,Total:,62,,Total:,115,,Total:,87,,Total:,47,,Total:,63,,Total:,49,,Total:,175,,Total:,53,,Total:,5,,Total:,4,,Total:,102,,Total:,3,,Total:,2,Total:,100
Beehive Homes Of Naples,F23-106542,4357893456,1923 East 2000 South,,Vernal,Uintah,84078,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Payson,F23-107021,8016585025,661 East 700 South,,Payson,Utah,84651,Assisted Living Facility - Type II,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Perry,F23-106543,4357231724,126 West 1550 South,,Perry,Box Elder,84302,Assisted Living Facility - Type II,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Provo #2,F23-106850,8016072531,3144 West Center Street,,Provo,Utah,84601,Assisted Living Facility - Type II,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Richfield #1,F23-107068,4358964536,540 North 600 West,,Richfield,Sevier,84701,Assisted Living Facility - Type I,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Richfield #2,F23-106979,4358961990,535 North 600 West,,Richfield,Sevier,84701,Assisted Living Facility - Type I,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Riverton,F23-107038,8012532237,12524 South Doreen Drive,,Riverton,Salt Lake,84065,Assisted Living Facility - Type II,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Salem,F23-106859,8014232305,1015 South 550 West,,Salem,Utah,84653,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Santaquin,F23-106802,8017543998,409 South 300 West,,Santaquin,Utah,84655,Assisted Living Facility - Type II,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of South Jordan,F23-106480,8019963777,3430 West 11400 South,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Spanish Fork,F23-106778,8017988188,858 East 100 South,,Spanish Fork,Utah,84660,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of St George #1,F23-106577,4356348321,1542 West 1170 North,,Saint George,Washington,84770,Assisted Living Facility - Type I,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of St George #2,F23-106964,4356340202,1555 West 1170 North,,Saint George,Washington,84770,Assisted Living Facility - Type II,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Syracuse,F23-106625,8017767000,1407 South 2000 West,,Syracuse,Davis,84075,Assisted Living Facility - Type II,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Vernal,F23-107008,4357893456,540 South 2050 West,,Vernal,Uintah,84078,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Washington County #3,F23-106961,4356191909,831 South 700 West,Building A,Hurricane,Washington,84737,Assisted Living Facility - Type I,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Washington County #5,F23-106923,4356191909,1122 North Coral Canyon Boulevard,,Washington,Washington,84780,Assisted Living Facility - Type I,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Washington County #6,F23-106772,4356191909,2041 South Mesa Palms Drive,Building B,Saint George,Washington,84770,Assisted Living Facility - Type II,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Washington County #7,F23-106598,4356191909,1078 North Coral Canyon Boulevard,,Washington,Washington,84780,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes Of Washington County #8,F23-106781,4356191909,2397 South River Road,,Saint George,Washington,84790,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Draper #1,F23-106452,8014953100,711 East Pioneer Road,,Draper,Salt Lake,84020,Assisted Living Facility - Type II,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Draper #2,F23-106463,8014953100,707 East Pioneer Road,,Draper,Salt Lake,84020,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Herriman #1,F23-106942,8012543173,6352 West 13100 South,,Herriman,Salt Lake,84096,Assisted Living Facility - Type II,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Kanab,F23-106728,4356448100,1364 South Powell Drive,,Kanab,Kane,84741,Assisted Living Facility - Type I,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Salt Lake City,F23-106450,8016620138,2891 South 2000 East,,Salt Lake City,Salt Lake,84109,Assisted Living Facility - Type II,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Tooele,F23-106729,4358330202,464 South Main Street,,Tooele,Tooele,84074,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Washington County #9,F23-106640,4356191909,831 South 700 West,Building B,Hurricane,Washington,84737,Assisted Living Facility - Type II,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Homes of Washington County IV,F23-107003,4358171033,2041 South Mesa Palms Drive,Building A,Saint George,Washington,84770,Assisted Living Facility - Type II,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel Aire Homes,F23-106661,8012215100,436 East 700 North,,Orem,Utah,84097,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel Aire Senior Living,F23-106492,8017630622,1088 East 390 South,,American Fork,Utah,84003,Assisted Living Facility - Type II,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellaview Assisted Living And Memory Care,F23-106959,8019808100,1049 West 3200 North,,Lehi,Utah,84043,Assisted Living Facility - Type II,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Assisted Living of Bell Canyon,F23-106439,8016139290,2270 High Mountain Drive,,Sandy,Salt Lake,84092,Assisted Living Facility - Type I,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Assisted Living, LLC",F23-106688,8014951086,2499 East Charros Road,,Sandy,Salt Lake,84092,Assisted Living Facility - Type I,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birch Creek Assisted Living,F23-106638,4355541776,532 South Main Street,,Smithfield,Cache,84335,Assisted Living Facility - Type II,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Journey,F23-106722,8015908980,5107 South 900 East,Suite 140,Salt Lake City,Salt Lake,84117,Birthing Center,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacksmith Fork Assisted Living,F23-106558,4359943000,680 East Main Street,,Hyrum,Cache,84319,Assisted Living Facility - Type II,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain Hospital Dialysis,F23-106528,4356784625,802 South 200 West,Suite A,Blanding,San Juan,84511,End Stage Renal Disease Facility,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain Hospital Mammography,F23-106620,4356784820,802 South 200 West,Suite A,Blanding,San Juan,84511,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonneville Dialysis,F23-106679,3853643656,5575 South 500 East,,Ogden,Weber,84405,End Stage Renal Disease Facility,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bountiful Dialysis,F23-107083,3853002657,532 South 500 West,,Bountiful,Davis,84010,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast Care At Holy Cross Hospital - Davis,F23-106582,8018077450,2132 North 1700 West,Suite B100,Layton,Davis,84041,Mammography,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast Care At Holy Cross Hospital-Jordan Valley,F23-107019,8016171919,3580 West 9000 South,,West Jordan,Salt Lake,84088,Mammography,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Dialysis,F23-106482,3854207500,1213 Flint Meadows Drive,Suite 1C,Kaysville,Davis,84037,End Stage Renal Disease Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham City Community Hospital Mammography,F23-106985,4357344191,950 South Medical Drive,,Brigham City,Box Elder,84302,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton House Of Riverton,F23-106491,8012548966,12894 South 1615 West,,Riverton,Salt Lake,84065,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton House of South Jordan,F23-107056,8012532882,10386 South 2200 West,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type I,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightwork Villa American Fork,F23-106609,8017564949,272 West 500 North,,American Fork,Utah,84003,Assisted Living Facility - Type I,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightwork Villa Park Place,F23-106855,8018992054,565 East 300 South,,Pleasant Grove,Utah,84062,Assisted Living Facility - Type I,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Valley Assisted Living,F23-106907,4357924770,233 North Main Street,,Providence,Cache,84332,Assisted Living Facility - Type II,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Valley Hospital Mammography,F23-106513,4357139777,2380 North 400 East,,North Logan,Cache,84341,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury Assisted Living,F23-106642,8014919866,198 South 1300 East,,Springville,Utah,84663,Assisted Living Facility - Type I,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury Assisted Living (West),F23-106730,8014918979,554 South 400 East,,Springville,Utah,84663,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Hill Senior Living,F23-106565,8013590050,76 South 500 East,,Salt Lake City,Salt Lake,84102,Assisted Living Facility - Type II,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington Court,F23-107000,8016768787,1928 West 9800 South,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castleview Dialysis,F23-106834,4356378696,230 North Hospital Drive,Suite 1,Price,Carbon,84501,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castleview Hospital Mammography,F23-107076,4356374800,300 North Hospital Drive,,Price,Carbon,84501,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar City Hospital Mammography,F23-107078,4358685300,1333 North Main Street,Suite 7,Cedar City,Iron,84721,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedarwood At Sandy Assisted Living,F23-106664,8015724456,625 East 11000 South,,Sandy,Salt Lake,84070,Assisted Living Facility - Type II,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Valley Medical Center Mammography,F23-106749,4356233165,48 West 1500 North,,Nephi,Juab,84648,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancellor Gardens Of Clearfield,F23-106646,8017790798,1425 South 1500 East,,Clearfield,Davis,84015,Assisted Living Facility - Type II,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concerto Utah LLC,F23-106653,8474431228,9253 South Redwood Road,Suite A,West Jordan,Salt Lake,84088,End Stage Renal Disease Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Creek Senior Living,F23-106790,3852742000,10569 River Heights Drive,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottage Glen Assisted Living,F23-106800,4358827990,1892 North Aaron Drive,,Tooele,Tooele,84074,Assisted Living Facility - Type II,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonwood Creek,F23-107055,8012630999,1245 East Murray Holladay Road,,Salt Lake City,Salt Lake,84117,Assisted Living Facility - Type I,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonwood Creek Ii,F23-106706,8012630999,1245 East Murray Holladay Road,,Salt Lake City,Salt Lake,84117,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Care,F23-106643,8013909917,513 South 950 West,,Farmington,Davis,84025,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Care II,F23-106980,8014517881,533 South 950 West,,Farmington,Davis,84025,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Home Assisted Living,F23-106692,3852063679,565 East Medical Drive,,Bountiful,Davis,84010,Assisted Living Facility - Type II,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Oaks Assisted Living of Layton,F23-107030,8016828907,1635 North Angel Street,,Layton,Davis,84041,Assisted Living Facility - Type I,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Pines Retirement Home,F23-106818,8017731649,1748 West 1800 North,,Clinton,Davis,84015,Assisted Living Facility - Type II,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country View Assisted Living,F23-106464,8013777737,2901 West Center Street,,Provo,Utah,84601,Assisted Living Facility - Type II,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtyard at Jamestown Assisted Living,F23-106647,8013773730,3352 North 100 East,,Provo,Utah,84604,Assisted Living Facility - Type II,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cove Point Retirement,F23-106740,8013779670,1988 North Cove Point Lane,,Provo,Utah,84604,Assisted Living Facility - Type I,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington Senior Living,F23-106788,8014942020,1925 North State Street,,Orem,Utah,84057,Assisted Living Facility - Type II,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington Senior Living Of Farmington,F23-106557,8014514990,430 South Brookside Drive,,Farmington,Davis,84025,Assisted Living Facility - Type II,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington Senior Living of Lehi,F23-107039,3854848899,301 North 1200 East,,Lehi,Utah,84043,Assisted Living Facility - Type II,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creekside Senior Living,F23-106559,8012940303,430 West 400 North,,Bountiful,Davis,84010,Assisted Living Facility - Type II,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescent Senior Living of Sandy,F23-106954,1430538417,11052 South Grapevine Cove,,Sandy,Salt Lake,84070,Assisted Living Facility - Type II,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Community Hospital Mammography,F23-106617,4358641532,126 South White Sage Avenue,,Delta,Millard,84624,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Jane's Assisted Living,F23-106588,4352490394,345 South Hale Street,,Grantsville,Tooele,84029,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie Dialysis,F23-106678,4356560857,720 South River Road,Suite D-1100,Saint George,Washington,84790,End Stage Renal Disease Facility,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elk Meadows Assisted Living And Memory Care,F23-107075,4357835575,400 West 4200 North,,Oakley,Summit,84055,Assisted Living Facility - Type II,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elk Ridge Assisted Living,F23-106708,8015046091,218 West Olympic Lane,,Elk Ridge,Utah,84651,Assisted Living Facility - Type II,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
